Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Burglary
Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,
Hartford Police Dept,CT,       4668,       4661,       5765,       4947,       5016,       5281,       4690,       4419,       3628,       3128,       3137,       2072,       1652,       1762,       1542,       1630,       1569,       1572,       1326,       1722,       1398,       1158,       1168,       1000,       1135,       1019,       1271,       1050,         981,         888, 
New Haven Police Dept,CT,       3475,       3455,       3995,       4725,       4555,       4476,       4146,       3672,       3417,       2961,       2965,       2936,       2510,       2147,       1962,       1488,       1361,       1515,,,,       1533,       1492,       1688,       1441,       1400,       1413,       1451,       1101,       1005, 
Stamford Police Dept,CT,       1230,       1637,       1456,       1458,       1602,       1375,       1236,       1037,       1105,       1078,         935,         704,         491,         531,         341,         297,         357,         249,         319,         359,         426,         411,         333,         324,         371,         349,         282,         290,         354,         277, 
Waterbury Police Dept,CT,       1665,       1964,       1908,       2426,       2492,       2595,       2920,       2196,       1815,       1866,       2049,       1930,       1472,       1308,       1212,       1252,       1299,       1246,       1082,       1239,       1198,       1045,         872,         651,         749,         781,         818,         662,         566,         460, 
New Castle County Police Department,DE,,,,,,,,,,,,,,,,,,       1869,       1897,       1694,       1719,       1771,       1786,       1998,       1865,       2054,       1983,       2213,       1533,       1534, 
Washington Metropolitan Police Dept,DC,      10005,      10814,      11241,      12295,      11778,      12035,      12403,      10719,      11532,      10037,      10184,       9828,       6963,       6361,       5067,       4745,       5009,       5167,       4670,       3943,       3571,       3826,       3920,       3781,       3696,       4224,       3849,       3519,       3314,       3463, 
Alachua County Sheriff Department,FL,,,,,,,,,,,,,       1728,       1835,       1385,       1263,       1334,       1216,       1160,       1178,       1147,       1163,       1262,       1175,       1220,         937,         794,         740,         626,         634, 
Brevard County Sheriff Department,FL,,,,,,,,,,,,,       1513,       1543,       1542,       1366,       1491,       1610,       1582,       1385,       1204,       1356,       1353,       1309,       1248,       1311,       1458,       1254,       1246,         933, 
Cape Coral Police Dept,FL,,,,,,,,,,,,,         786,         776,         667,         736,         855,       1081,       1044,         882,       1026,       1462,       1483,       1353,       1267,       1083,       1023,         860,         803,         679, 
Charlotte County Sheriff Department,FL,,,,,,,,,,,,,         797,         903,         639,         704,         870,         931,       1118,       1075,       1061,       1185,         975,       1083,         947,         977,       1089,         861,         748,         521, 
Citrus County Sheriff Department,FL,,,,,,,,,,,,,         715,         742,         603,         589,         640,         681,         480,         546,         506,         575,         638,         728,         771,         884,         806,         737,         631,         528, 
City Of Port St Lucie Police Dept,FL,,,,,,,,,,,,,         668,         680,         523,         523,         556,         737,         683,         749,         770,       1065,       1003,       1114,       1102,         909,       1128,         816,         722,         511, 
Clay County Sheriff Department,FL,,,,,,,,,,,,,         614,         506,         388,         403,         592,         693,         605,         701,         873,         877,         920,       1058,         933,         793,         883,         732,         657,         690, 
Clearwater Police Dept,FL,,,,,,,,,,,,,       1144,       1236,       1209,       1111,       1188,       1181,       1055,         979,         949,         882,         862,         856,         802,         777,         719,         919,         851,         755, 
Collier County Sheriff Department,FL,,,,,,,,,,,,,       2335,       2044,       2085,       1970,       2081,       1969,       1751,       1355,       1274,       1302,       1337,       1258,       1191,       1090,       1373,       1224,         989,         798, 
Coral Springs Police Dept,FL,,,,,,,,,,,,,         868,         723,         641,         633,         648,         681,         560,         425,         424,         487,         478,         549,         541,         517,         633,         572,         389,         355, 
Jacksonville,FL,      13663,      16498,      20745,,      19708,      17529,      16910,      16304,      15127,      14327,      12491,      13171,      12343,      10849,       9651,       9955,       9903,       9173,       8910,       9066,       8998,       9615,      11115,      12012,      11306,       9588,       8518,       7632,       7069,       6806, 
Escambia County Sheriff Department,FL,,,,,,,,,,,,,       2989,       2753,       2331,       2347,       2629,       3013,       2546,       2220,       2351,       2595,       2391,       2417,       2610,       2665,       2600,       3156,       2776,       2357, 
Fort Lauderdale Police Dept,FL,,,,,,,,,,,,,       3930,       3714,       3014,       2259,       2439,       2482,       2320,       2612,       2555,       2239,       2266,       2633,       2907,       2841,       3102,       2951,       2654,       1942, 
Gainesville Police Dept,FL,,,,,,,,,,,,,       1729,       1783,       1380,       1269,       1294,       1248,       1208,       1212,       1178,       1420,       1522,       1382,       1487,       1213,       1063,       1009,         742,         594, 
Hernando County Sheriff Department,FL,,,,,,,,,,,,,       1058,       1066,       1167,         975,       1306,       1487,       1240,       1178,       1154,       1498,       1587,       1662,       1372,       1247,       1321,       1184,       1013,         787, 
Hialeah Police Dept,FL,,,,,,,,,,,,,       2830,       2783,       2200,       1865,       1596,       1609,       1804,       1699,       1542,       1673,       1808,       1624,       1093,       1098,       1069,       1048,         763,         723, 
Hillsborough County Sheriff Department,FL,,,,,,,,,,,,,       5959,       6149,       6088,       5443,       5987,       6556,       6677,       6320,       5965,       6507,       6742,       7505,       7515,       5863,       5104,       4143,       4080,       3504, 
Hollywood Police Dept,FL,,,,,,,,,,,,,       2214,       1922,       1476,       1266,       1235,       1205,       1289,       1296,       1314,       1338,       1429,       1650,       1687,       1833,       2054,       1958,       1500,       1428, 
Lake County Sheriff Department,FL,,,,,,,,,,,,,       1179,       1128,       1203,       1180,       1078,       1088,       1246,       1202,       1346,       1249,       1185,       1229,       1141,         794,       1159,         991,         876,         930, 
Lakeland Police Dept,FL,,,,,,,,,,,,,       2006,       1702,       1260,       1246,       1326,       1018,         954,       1084,         912,       1140,       1093,       1029,       1247,       1104,       1333,       1296,       1130,       1088, 
Lee County Sheriff Department,FL,,,,,,,,,,,,,       2512,       2737,       2671,       2448,       2762,       2924,       2964,       3049,       3185,       3670,       4414,       4174,       3862,       3218,       3593,       2771,       2527,       2034, 
Manatee County Sheriff Department,FL,,,,,,,,,,,,,       2166,       2431,       2251,       1965,       2583,       2567,       2511,       2526,       2377,       2634,       2467,       2870,       2459,       2745,       2532,       2010,       2043,       1597, 
Marion County Sheriff Department,FL,,,,,,,,,,,,,       1780,       1541,       1627,       1682,       1523,       1627,       1540,       1473,       1635,       1394,       1608,       1548,       1606,       1554,       1733,       1293,       1248,       1101, 
Martin County Sheriff Department,FL,,,,,,,,,,,,,       1000,         888,         763,         663,         732,         805,         730,         664,         578,         647,         673,         749,         796,         679,         690,         623,         623,         475, 
Metro-Dade Police Department,FL,,,,,,,,,,,,,      19223,      16630,      14195,      13538,      11689,      11448,      11565,       8765,       9381,       9194,       9737,       9284,       9283,       8554,       9324,       7851,       7094,       6440, 
Miami Police Dept,FL,,,,,,,,,,,,,       8946,       7831,       7329,       7303,       6218,       5962,       5878,       5556,       5377,       4442,       4829,       4941,       4856,       4604,       5141,       4255,       3993,       3659, 
Miramar Police Dept,FL,,,,,,,,,,,,,         962,         828,         725,         742,       1201,         856,         896,         735,         939,         800,       1038,       1030,       1020,       1262,         981,         862,       1070,         722, 
Okaloosa County Sheriff Department,FL,,,,,,,,,,,,,       1578,       1557,       1085,         569,         577,         645,         653,         728,         754,         752,         863,         767,         723,         756,         637,         577,         524,         633, 
Orange County Sheriff Department,FL,,,,,,,,,,,,,       8169,       7519,       7244,       6501,       7715,       7742,       7336,       6983,       7337,       8134,       8783,       9907,       9178,       8313,       8705,       8728,       7910,       6760, 
Orlando Police Dept,FL,,,,,,,,,,,,,       4424,       3995,       3683,       3423,       3529,       3710,       3593,       3601,       3882,       3662,       4164,       4279,       3770,       4015,       4165,       3778,       3485,       3342, 
Osceola County Sheriff Department,FL,,,,,,,,,,,,,       1837,       1737,       1735,       1887,       1891,       1908,       1928,       2116,       2130,       2347,       2806,       2631,       2347,       2123,       1691,       1740,       1519,       1299, 
Palm Bay Police Dept,FL,,,,,,,,,,,,,         776,         705,         747,         729,         698,         917,         890,         726,       1032,       1101,         881,         757,         664,         740,         808,         719,         517,         478, 
Palm Beach County Sheriff Department,FL,,,,,,,,,,,,,       6402,       6898,       5363,       5586,       5899,       5659,       5074,       4937,       4423,       4604,       5016,       4814,       5095,       4524,       4269,       3767,       3685,       3195, 
Pasco County Sheriff Department,FL,,,,,,,,,,,,,       2468,       2984,       2802,       2649,       3185,       3314,       2699,       3150,       3231,       3761,       3738,       4040,       3809,       3673,       3436,       3015,       2864,       2234, 
Pembroke Pines Police Dept,FL,,,,,,,,,,,,,         821,         748,         686,         614,         620,         675,         618,         619,         743,         831,         827,         917,       1091,       1102,       1059,         846,         775,         569, 
Pinellas County Sheriff Department,FL,,,,,,,,,,,,,       2379,       2522,       2385,       2105,       2342,       2158,       2139,       1868,       1883,       1800,       1981,       2077,       1868,       1847,       1817,       1535,       1422,       1330, 
Polk County Sheriff Department,FL,,,,,,,,,,,,,       5961,       5302,       3853,       3779,       3501,       3062,       3086,       2798,       2839,       3066,       3461,       3874,       3975,       3377,       3274,       3186,       2693,       2466, 
Pompano Beach Police Dept,FL,,,,,,,,,,,,,       2085,       1705,       1207,         736,         681,         653,         592,       1128,         958,       1049,       1139,       1232,         971,       1101,       1343,       1283,       1220,       1004, 
Santa Rosa County Sheriff Department,FL,,,,,,,,,,,,,         983,         813,         443,         467,         584,         553,         595,         508,         480,         648,         476,         418,         415,         508,         602,         491,         474,         379, 
Sarasota County Sheriff Department,FL,,,,,,,,,,,,,       1957,       1701,       1654,       1591,       1959,       1870,       2002,       1924,       1867,       1872,       1908,       2195,       2065,       2182,       2224,       1647,       1366,       1096, 
Seminole County Sheriff Department,FL,,,,,,,,,,,,,       1038,       1133,       1140,         968,         896,       1005,         890,         827,         923,         928,         978,       1166,         987,         868,         907,         900,         923,         834, 
St. John County Sheriff Department,FL,,,,,,,,,,,,,         792,         729,         687,         621,         646,,         587,         834,         825,         882,       1164,         945,         961,         847,         841,         766,         683,         607, 
St. Petersburg Police Dept,FL,,,,,,,,,,,,,       4041,       4615,       3966,       3538,       3678,       3628,       3852,       3824,       3534,       3466,       3717,       4232,       4366,       3564,       3412,       2933,       2742,       2612, 
Sumter County Sheriff Department,FL,,,,,,,,,,,,,         296,         273,         205,         234,         319,         287,         230,         227,         240,         248,         279,         257,         261,         221,         208,         269,         257,         279, 
Tallahassee Police Dept,FL,,,,,,,,,,,,,       2199,       2511,       2222,       2428,       2265,       2262,       2223,       2827,       2614,       2168,       2588,       2804,       3125,       2920,       3252,       2630,       2082,       2316, 
Tampa Police Dept,FL,,,,,,,,,,,,,       6605,       5720,       6024,       6177,       6096,       6283,       6390,       6077,       4914,       4451,       4221,       4098,       3501,       3131,       2718,       2476,       1950,       1820, 
Volusia County Sheriff Department,FL,,,,,,,,,,,,,       2099,       1923,       1585,       1541,       1597,       1667,       1324,       1233,       1326,       1624,       1802,       1945,       1830,       1765,       1878,       1687,       1390,       1125, 
West Palm Beach Police Dept,FL,,,,,,,,,,,,,       2103,       2094,       2026,       1749,       1610,       1729,       1474,       1655,       1605,       1591,       1594,       1445,       1291,       1246,       1354,       1289,       1024,         929, 
Athens-Clarke County Police Department,GA,,,,,,,,,,,,,       1484,       1134,,,,,,,,,,,       1918,       1334,       1359,       1149,         967,         761, 
Atlanta Police Dept,GA,      12192,      13454,      14927,      15556,      17202,      15519,      13861,      13065,      13168,      12136,      11694,      10471,       9183,       9093,       8571,       9256,       8731,       8554,       8065,       6726,       6648,       7401,       8859,       9989,       9112,       8016,       7499,       6192,       5938,       5470, 
Cherokee County Sheriff Department,GA,         544,,,         525,         995,         807,         577,         564,         567,         414,         431,         497,         416,,         347,         439,         464,         443,,,         532,,         416,         389,         436,         525,         665,         604,         487,         385, 
Clayton County Police Department,GA,,,       2111,       2258,       2539,       2474,       2123,       2001,       2086,       1893,       1728,       2336,       2050,       1969,       1823,       1868,,,,,,,,,       4195,       4266,       3770,       3777,       3175,       2967, 
Cobb County Police Department,GA,,,,,,,,,,,,,,,,,,,,,,,,,       3427,,       3376,       3055,       2625,       2387, 
Columbia County Sheriff Department,GA,         368,         403,         468,         438,,,,,         394,,         309,         335,         352,         280,,         233,         255,         387,         278,,         270,,,         346,         353,         376,         452,         396,         287,         251, 
Columbus Police Dept,GA,       2079,       2167,       2354,       3053,       2910,       2549,       2377,       2628,       2309,       1984,       2201,       2216,       2007,       1457,       1611,       1771,       1803,       1937,       2204,       2297,       2681,       2773,       2652,       3271,       3792,       3454,       3342,       2709,       3355,       3711, 
Dekalb County Public Safety Department,GA,,,,,,,,,,,,,,,,,,,,,,,,,       9524,       9639,      10338,       9468,       9256,       8511, 
Forsyth County Sheriff Department,GA,         345,         402,,         349,         476,         548,         490,         504,         563,         491,         513,         519,         533,         473,         433,         485,         398,         439,         515,         512,         695,         443,         451,         503,         507,         469,         438,,         370,         296, 
Gwinnett County Police Department,GA,       2500,       2971,       2842,       3133,       3066,       3350,       3092,       3006,       3052,       2604,       2685,       2985,       3143,       2426,       3815,       2603,,,,,,,,,       5549,       5392,       5095,       4100,       3684,       3360, 
Hall County Sheriff Department,GA,         614,         522,,         814,,         898,         683,         632,         768,         786,         778,         735,         963,         885,         744,,         646,         653,         740,         880,         822,         674,         683,         651,         803,         774,         722,         626,         643,         607, 
Henry Police Dept,GA,,,,,,,,,,,,,,,,,,,,,,,,,       1087,       1316,       1360,       1378,       1192,       1212, 
Paulding County Sheriff Department,GA,         192,,         317,         390,         418,         423,         339,,         362,         286,         259,         307,         357,         408,,         315,         293,         443,         488,,         615,         621,         611,         608,         571,         617,         664,         622,         545,         520, 
Richmond,GA,,,,,,,,,,,,,,,,,       2095,       2139,       2234,       2586,       2799,       2844,       2878,       3502,       3582,       4222,       3817,       3146,       2692,, 
Savannah Police Dept,GA,       3291,       3609,       3363,       2836,       2535,       2763,       2869,       3176,       2868,       2164,       1946,       2158,       2230,       1903,       1953,       1793,       2080,       1985,       2135,       2003,,,,,       2652,       2552,       2241,       2083,       2125,       1681, 
Honolulu Police Dept,HI,       8989,      10675,       9136,       9811,,       9785,       9905,       9106,       9296,      10018,      10127,       9026,       8755,       7692,       6087,       6946,       7340,       8932,       7967,       7240,       6209,       5482,       5777,       6370,       5999,       5760,,,,, 
Maui Police Department,HI,       1370,       1544,       1536,       1883,       1965,       1518,       1736,       1666,       1702,       1833,       1596,       1584,       1691,       1352,       1474,       1679,,,,,,,,,       1020,       1091,,       1067,         948,       1046, 
Ada County Sheriff Department,ID,         533,         671,         685,         506,         505,         440,         391,         408,         379,         454,         435,         424,         373,         438,         477,         326,         481,         413,         386,          63,,         222,         290,         333,         287,         247,         165,         248,         245,         191, 
Boise Police Dept,ID,       1488,       2055,       2016,       1638,       1570,       1369,       1211,       1102,       1204,       1374,       1424,       1515,       1342,       1393,       1306,       1354,       1349,       1332,       1435,       1244,       1358,       1176,       1023,       1113,       1060,         892,         809,         913,         825,         693, 
Aurora Police Dept,IL,       1404,       1541,       1617,       1766,       1429,       1603,       1687,       1330,       1465,       1232,       1151,       1241,       1067,       1138,       1006,       1139,       1064,       1017,         942,         882,         883,         917,         921,         879,         755,         820,         947,         944,         576,         509, 
Chicago Police Dept,IL,      52658,      56274,      50931,      52060,      51580,      50203,      52234,      49046,      45670,      43821,      40239,      40475,      40632,      36009,      30122,      28327,      25966,      25552,      25064,      24428,      25314,      24153,      24752,      26041,      26494,      26203,      26420,      22748,      17875,      14554, 
Cook County Sheriff Department,IL,       1280,       1260,       1238,       1364,       1128,       1377,       1305,       1154,       1051,         860,,,,,,,,,,,,         344,         290,         321,,         355,         395,         384,         229,         289, 
Elgin Police Dept,IL,         962,       1315,       1390,       1284,       1200,         963,       1138,         895,         763,         826,,,,,,,,,,,,         474,         489,         473,         445,         425,         555,         357,         351,         299, 
Joliet,IL,       1528,       1534,       1746,       1725,       1570,       1318,       1357,       1312,       1361,       1172,,,,,,,         887,         851,         883,         824,         745,         882,         885,         844,         899,         957,         939,         954,         724,         642, 
Lake County Sheriff Department,IL,         988,       1083,       1027,         936,         853,         965,         898,         847,         784,         654,,,,,,,,,,,,         505,         468,         568,         483,         457,         569,         451,         482,         387, 
Naperville Police Dept,IL,         398,         385,         350,         287,         392,         382,         323,         283,         293,         338,         295,         407,         413,         410,         358,         271,         254,         334,         291,         317,         332,         185,         250,         322,         296,         219,         300,         255,         225,         176, 
Peoria Police Dept,IL,       1874,       2360,       2402,       2770,       2473,       2272,       2503,       2765,,       2604,,       2086,       1707,       2301,       2247,       2051,       1840,       1841,       1850,       1760,       1839,       1560,       1226,       1183,       1606,       1460,       1721,       1420,       1123,       1224, 
Rockford Police Dept,IL,       3949,       3737,       4038,       4051,       3272,       3608,       3418,       4251,       4021,       3941,       3616,       3401,       3767,       3221,       2961,       2458,       2502,       3234,       2996,       2607,       2371,       2998,       2686,       2882,       2462,       2380,       1890,       2224,       2011,       1711, 
Springfield Police Dept,IL,       2234,       2058,       2048,       1842,       1794,       1809,       2475,       2538,,       2674,       2487,       2359,       2104,       2229,       1793,       1843,       1830,       1760,       2112,       1831,       1719,       1953,       1537,       1753,       1711,       2167,       1883,       1670,       1303,       1110, 
Will County Sheriff Department,IL,         989,       1226,         950,         965,         864,         743,         881,,,,,,,,,,,,,,,         504,         437,,         509,         523,         527,         521,         409,         346, 
Elkhart County Sheriff Department,IN,         454,         451,         558,         560,         555,         578,         595,         436,,         561,         547,         546,         663,         636,         649,         751,         658,         618,         472,         452,         442,         379,         634,         656,         506,         533,         532,         428,         435,         178, 
Evansville Police Dept,IN,       1604,       1512,       1538,       1677,       1652,       1644,       1638,       1525,       1580,       1552,       1537,       1439,       1507,       1805,       1243,       1072,       1164,       1112,       1065,       1159,       1255,       1131,       1108,       1104,       1110,       1086,       1074,       1132,         996,       1087, 
Fort Wayne Police Dept,IN,       1826,       1864,,       3527,       3107,       2449,       2726,       2392,       2028,       1778,       1800,       1927,       2454,       2163,       1665,       1819,       2013,       2030,       2188,       2073,       2233,       2128,       2129,       2410,       2269,       2140,       1888,       2025,       2396,       1765, 
Indianapolis Police Dept,IN,       8209,       8247,       8744,       7714,       8520,       7878,       8732,       8102,       7629,       8151,       6510,       7797,       7935,      11258,       9971,       8095,       9043,       9662,      10062,      10920,      11548,      11734,      13385,      14267,      15217,      13938,      15122,      14774,      13445,      12125, 
Marion County Sheriff Department,IN,       3608,       3622,       3659,       3951,       4393,       4063,       4601,       4657,       3726,       3545,       3558,       3405,       3573,,,,,,,,,,,,,,,,,, 
South Bend Police Dept,IN,       2775,       3206,       3598,       3051,,,,       3154,       2606,       2500,       2406,       2880,       2295,       2066,       2258,       1930,       1932,       1826,       1716,       1555,       1678,       1930,       1945,       2284,       2086,       2216,       2335,       1744,       1468,       1222, 
St. Joseph County Sheriff Department,IN,         420,         457,         554,         455,         605,         613,         586,         593,         471,         598,         503,         481,         545,         508,         451,         524,         471,         492,         474,         396,         295,         381,         383,         610,         572,         603,         529,         368,         455,         325, 
Cedar Rapids Police Dept,IA,       1844,       1845,       1802,       1440,       1218,       1310,,,,,,       1276,,,       1093,       1033,       1322,       1126,       1114,       1351,       1072,       1129,       1091,       1256,       1281,       1028,       1099,         966,         986,         946, 
Davenport Police Dept,IA,       1768,       1850,       1628,       1708,       1914,       1777,,       1835,       1859,       1810,       1583,       1248,       1398,       1397,       1441,       1236,       1524,       1703,       1405,       1527,       1572,       1452,       1216,       1285,       1098,       1152,       1140,         890,         961,         932, 
Des Moines Police Dept,IA,       4518,       4884,       3772,       3227,       2751,       2772,,       1927,       1985,       1714,       1933,       1797,       2460,       2124,       1610,       1729,       1302,       1677,       1527,       1923,       2630,       2189,       2094,       2004,       1833,       2249,       2493,       2514,       2312,       1894, 
City Of Overland Park Police Dept,KS,         613,         848,,         931,         720,         807,         799,         761,,,,,,,,,         189,         321,,         521,         488,         584,         532,         507,         534,         491,         468,         517,         404,         384, 
Kansas City Police Dept,KS,       4058,       4585,       4550,       5084,       4513,       3867,       4170,       4198,,,,,,,,,,,,       1820,       1842,       2265,       2269,,       1918,       1922,       1827,       1772,       1617,       1663, 
Olathe Police Dept,KS,         439,         572,         481,         541,         567,         508,         565,         523,,,,,,,,         297,         243,         265,,         276,         249,         353,         346,         247,         321,         243,         259,         315,         217,         199, 
Topeka Police Dept,KS,       2245,       4038,       2866,       2900,       3047,       2878,       3524,       3627,,,       5894,       3563,       3052,       2954,       2436,       2727,       2046,       1767,       1518,       1401,       1719,       1478,       1424,       1561,       1663,       1598,       1727,       1277,       1238,       1007, 
Wichita Police Dept,KS,       4842,       5033,       5601,       5671,       6327,       6230,       7459,       6514,       5847,       6501,       5364,       5193,       4769,       4716,       3990,       3757,       4422,       4459,       3843,       3939,       3491,       3810,       4362,       4081,       4054,       4248,       4005,       3919,       3941,       3264, 
Louisville Metro,KY,,,,,,,,,,,,,,,,,,,,       6869,       7146,       7587,       7588,       7278,       7085,       7571,       8127,       7008,       6920,       6423, 
Lexington-Fayette County Police Department,KY,       2965,       3202,       2860,,       3354,       3177,       3211,       2831,       3187,       3089,       2978,       2893,       2610,       2660,       2483,       2164,       2516,       2439,       2694,       2224,       2172,       2184,       2114,       2259,       2427,       2679,       2724,       2854,       2585,       2400, 
Louisville Police Dept,KY,       5019,       5609,       5526,,       5180,       4765,       5007,       4181,       4204,       4403,       4471,       4830,       4480,       4592,       3418,       3202,       3390,       3519,,,,,,,,,,,,, 
Ascension Parish Sheriff Department,LA,,,,,         445,         280,         369,,         287,         400,         403,         239,         628,         787,         712,         776,         851,         964,         611,         561,         592,         666,         605,         550,         632,         739,         800,         656,         632,         629, 
Baton Rouge Police Dept,LA,       7983,       9610,       7916,       7042,       5953,       6152,       6390,       6784,       7543,       5354,       5164,       5577,       5097,       5165,       4474,       4244,       3716,       4070,       3887,       4036,       3940,       4021,       3847,       3783,       4268,       3963,       4220,       3826,       3264,       2772, 
East Baton Rouge Parish Sheriff Dept,LA,       2182,       2559,       2310,       2217,       2125,       1980,       2019,       1995,       1860,       1579,       1761,       1949,       2191,       1991,       1854,       1869,       1763,       1883,       1678,       1576,       1445,       1837,       1995,       2238,       2170,       2060,       1710,       1802,       1522,       1240, 
Jefferson Parish Sheriff Department,LA,,,,,,,,,,,,,,,       3893,       3604,       3405,       2945,       3382,       3285,,       3731,       3632,       3675,       3343,       2809,       2950,       2568,       2399,       2129, 
Lafayette Police Dept,LA,       1718,       2067,       1727,       2136,       1512,       1593,       1649,       1527,       1493,       1779,       1624,       1375,       1539,       1559,       1524,       1292,       1332,       1391,       1303,       1332,       1233,       1296,       1410,       1421,       1407,       1432,       1194,       1330,       1276,       1186, 
Livingston Parish Sheriff Department,LA,,         405,         480,         536,         562,         505,         513,         418,         432,         458,         354,         523,         427,         573,         590,         628,,         760,         744,         640,         485,         603,         593,         785,         612,         688,         796,         729,       1256,       1000, 
New Orleans Police Dept,LA,      10383,      11561,      11999,      12322,      12925,      13624,      12400,      10967,      11184,      10064,      10236,       9954,       8107,       7008,       5626,       5230,       5262,       4759,       4879,       5238,,       4087,       5039,       4591,       3821,       3695,       3857,       3423,       3203,       3458, 
Shreveport Police Dept,LA,       4803,       5170,       5926,       6287,       6404,       5117,       4539,       4278,       4774,       5003,       3787,       4185,       4003,       3863,       3719,       3183,       3368,       3350,       3595,       3307,       2969,       2922,       2861,       2512,       2730,       2616,       2775,       2425,       2360,       2087, 
St. Tammany Parish Sheriff Department,LA,       1117,       1320,       1090,       1167,       1255,       1161,       1163,       1195,         911,         943,         911,         952,         853,         858,         705,         753,         720,         724,         765,         726,         782,         754,         790,         775,         643,         568,         592,         651,         515,         388, 
Anne Arundel County Police Department,MD,,,,,,,,,,,,,,,,,,,,,,,,,       2867,       2662,       2073,,,       1975, 
Baltimore City Police Dept,MD,      13872,      14321,      13475,      14251,      14315,      14753,      16230,      16298,      17901,      15897,      16569,      14802,      12755,      13177,,      10688,      10899,       8759,       7789,       7981,       7338,       7608,       7381,       7832,       7798,       7573,       8615,       7770,       7391,       6926, 
Baltimore County Police Department,MD,       8425,       9429,       8334,       8348,       8237,       7812,       8150,       8105,       7881,       7233,       7505,       6858,       7136,       6880,       6100,,,,,,,,,,       4282,       4089,       4269,       4061,,, 
Charles County Sheriff Office,MD,         523,         627,         730,         799,         641,         764,         774,         646,         631,         760,         898,         772,         725,         703,         603,         598,         638,         668,         690,         759,         636,         673,         706,         725,         568,         663,         732,         581,         657,         483, 
Frederick County Sheriff Department,MD,          88,          72,          74,          97,         126,         154,         166,         178,         193,         182,         249,         191,         277,         261,         241,         209,         241,         313,         243,         254,         286,         354,         251,         252,         254,         272,         318,         278,         373,         323, 
Harford County Sheriff Office,MD,         698,         753,         806,         862,         752,         900,         948,         819,         770,         764,         687,         871,         797,         595,         524,         564,         806,         775,         710,         730,         572,         638,         712,         770,         604,         677,         556,         779,         630,         512, 
Howard County Police Department,MD,       1414,       1616,       1504,       1642,       1660,       1795,       1659,       1667,       1488,       1247,       1426,       1278,       1497,       1211,       1315,,,,,,,,,,       1207,       1393,       1108,       1185,       1032,         869, 
Montgomery County Police Department,MD,       5155,       4720,       5036,       5363,       4334,       4778,       5105,       4804,       4529,       4503,       4671,       4581,       3990,       4049,       3704,,,       3874,       4094,       3741,       3570,       3804,       3550,       3603,       3011,       3323,       3061,       2600,       2586,       2299, 
Prince Georges County Police Department,MD,,,,,,,,,,,,,,,,,,,,,,,,,       6707,       6427,       5499,       4758,       4543,       3809, 
St. Marys County Sheriff Department,MD,         303,         359,         394,         532,         524,         555,         781,         540,         485,         467,         451,         513,         523,         417,         369,         302,         320,         282,         366,         423,         348,         484,         542,         466,         397,         432,         649,         691,         589,         471, 
Washington County Sheriff Department,MD,         144,         154,         159,         178,         191,         164,         210,         197,         214,         145,         200,         223,         239,         234,         241,         280,         278,         317,         229,         280,         275,         377,         326,         335,         317,         316,         415,         423,         343,         391, 
Boston Police Dept,MA,      11470,      10485,      10412,       9163,       9882,      10238,      10029,       8718,       7982,       6799,       6671,       5052,       4301,       3610,       3414,       4051,       4222,       3830,       4344,       4545,       4531,       4121,       3810,       3493,       2955,       3587,       3482,       3325,       3096,       2680, 
Cambridge Police Dept,MA,       1410,       1419,       1478,,       1621,       1470,       1093,         866,         929,         774,         953,         799,         596,         689,         567,         552,         688,         720,         651,         724,         623,         684,         662,         396,         434,         483,         539,         502,         401,         291, 
Lowell Police Dept,MA,,,       1437,,,,,,       2244,       1451,       1159,         816,         694,         662,         631,         686,         650,         630,         626,         576,         664,         753,         953,       1074,         891,         886,         914,         849,         760,         638, 
Springfield Police Dept,MA,       2261,       2730,       3438,       3694,       3399,       3530,       4024,       3839,       3140,       2911,       2490,       3206,       3991,       3066,       3044,       2151,       2720,       3808,       2649,       2154,       2141,       2177,       2029,       2005,       2068,       2660,       2499,       2317,       2361,       1793, 
Worcester Police Dept,MA,       3408,       2942,       3252,       3378,,,,       4333,       3404,       3234,       2524,       2233,       2146,       1709,       1558,       1239,       1152,       1356,       1552,       1370,       1248,       1231,       1308,       1701,       1485,       1910,       2066,       2040,       1916,       1417, 
Ann Arbor Police Dept,MI,       1562,       1753,       1718,       1671,       1503,       1453,       1251,       1164,       1101,         943,       1083,         804,         803,         845,         859,         749,         739,         859,         754,         738,         861,         632,         571,         625,         603,         525,         534,         714,         409,         320, 
Detroit Police Dept,MI,      40385,      38975,      36900,      32147,      29031,      26063,      26059,      22048,      23092,      22156,      22366,      21491,      19324,      21516,      18278,      15828,      15096,      14399,      14100,      12202,      15305,      18137,      17764,      18425,      19236,      17078,      15994,      13488,      11758,       9179, 
Grand Rapids Police Dept,MI,       3576,       3508,       3984,       3728,       3697,       3743,       4270,       3777,       3161,       3172,       3113,       3033,       2822,       3151,       2681,       2612,       2582,       2309,       2048,       2155,       2038,       2486,       2629,       2295,       2454,       2771,       1952,       1917,       1621,       1126, 
